Episdoe: 224,  Total Steps: 33600,  Num Updates: 12279
Episdoe: 225,  Total Steps: 33750,  Num Updates: 12343
Episdoe: 226,  Total Steps: 33900,  Num Updates: 12418
Episdoe: 227,  Total Steps: 34050,  Num Updates: 12491
Episdoe: 228,  Total Steps: 34200,  Num Updates: 12556
Episdoe: 229,  Total Steps: 34350,  Num Updates: 12621
Episdoe: 230,  Total Steps: 34500,  Num Updates: 12686
Episdoe: 231,  Total Steps: 34650,  Num Updates: 12752
Episdoe: 232,  Total Steps: 34800,  Num Updates: 12826
Episdoe: 233,  Total Steps: 34950,  Num Updates: 12890
Episdoe: 234,  Total Steps: 35100,  Num Updates: 12955
Episdoe: 235,  Total Steps: 35250,  Num Updates: 13020
Episdoe: 236,  Total Steps: 35400,  Num Updates: 13084
Episdoe: 237,  Total Steps: 35550,  Num Updates: 13158
Episdoe: 238,  Total Steps: 35700,  Num Updates: 13222
Episdoe: 239,  Total Steps: 35850,  Num Updates: 13286
Episdoe: 240,  Total Steps: 36000,  Num Updates: 13350
Episdoe: 241,  Total Steps: 36150,  Num Updates: 13414
Episdoe: 242,  Total Steps: 36300,  Num Updates: 13477
Episdoe: 243,  Total Steps: 36450,  Num Updates: 13540
Episdoe: 244,  Total Steps: 36600,  Num Updates: 13604
Episdoe: 245,  Total Steps: 36750,  Num Updates: 13668
Episdoe: 246,  Total Steps: 36900,  Num Updates: 13733
Episdoe: 247,  Total Steps: 37050,  Num Updates: 13797
Episdoe: 248,  Total Steps: 37200,  Num Updates: 13860
Episdoe: 249,  Total Steps: 37350,  Num Updates: 13924
Episdoe: 250,  Total Steps: 37500,  Num Updates: 13989
Episdoe: 251,  Total Steps: 37650,  Num Updates: 14053
Episdoe: 252,  Total Steps: 37800,  Num Updates: 14116
Episdoe: 253,  Total Steps: 37950,  Num Updates: 14180
Episdoe: 254,  Total Steps: 38100,  Num Updates: 14243
Episdoe: 255,  Total Steps: 38250,  Num Updates: 14309
Episdoe: 256,  Total Steps: 38400,  Num Updates: 14373
Episdoe: 257,  Total Steps: 38550,  Num Updates: 14439
Episdoe: 258,  Total Steps: 38700,  Num Updates: 14502
Episdoe: 259,  Total Steps: 38850,  Num Updates: 14565
Episdoe: 260,  Total Steps: 39000,  Num Updates: 14629
Episdoe: 261,  Total Steps: 39150,  Num Updates: 14693
Episdoe: 262,  Total Steps: 39300,  Num Updates: 14757
Episdoe: 263,  Total Steps: 39450,  Num Updates: 14822
Episdoe: 264,  Total Steps: 39600,  Num Updates: 14885
Episdoe: 265,  Total Steps: 39750,  Num Updates: 14948
Episdoe: 266,  Total Steps: 39900,  Num Updates: 15013
Episdoe: 267,  Total Steps: 40050,  Num Updates: 15077
Episdoe: 268,  Total Steps: 40200,  Num Updates: 15142
Episdoe: 269,  Total Steps: 40350,  Num Updates: 15197
Episdoe: 270,  Total Steps: 40500,  Num Updates: 15262
Episdoe: 271,  Total Steps: 40650,  Num Updates: 15326
Episdoe: 272,  Total Steps: 40800,  Num Updates: 15392
Episdoe: 273,  Total Steps: 40950,  Num Updates: 15455
Episdoe: 274,  Total Steps: 41100,  Num Updates: 15521
Episdoe: 275,  Total Steps: 41250,  Num Updates: 15585
Episdoe: 276,  Total Steps: 41400,  Num Updates: 15649
Episdoe: 277,  Total Steps: 41550,  Num Updates: 15713
Episdoe: 278,  Total Steps: 41700,  Num Updates: 15777
Episdoe: 279,  Total Steps: 41850,  Num Updates: 15841
Episdoe: 280,  Total Steps: 42000,  Num Updates: 15907
Episdoe: 281,  Total Steps: 42150,  Num Updates: 15971
Episdoe: 282,  Total Steps: 42300,  Num Updates: 16034
Episdoe: 283,  Total Steps: 42450,  Num Updates: 16098
Episdoe: 284,  Total Steps: 42600,  Num Updates: 16162
Episdoe: 285,  Total Steps: 42750,  Num Updates: 16226
Episdoe: 286,  Total Steps: 42900,  Num Updates: 16289
Episdoe: 287,  Total Steps: 43050,  Num Updates: 16353
Episdoe: 288,  Total Steps: 43200,  Num Updates: 16417
Episdoe: 289,  Total Steps: 43350,  Num Updates: 16482
Episdoe: 290,  Total Steps: 43500,  Num Updates: 16547
Episdoe: 291,  Total Steps: 43650,  Num Updates: 16613
Episdoe: 292,  Total Steps: 43800,  Num Updates: 16678
Episdoe: 293,  Total Steps: 43950,  Num Updates: 16742
Episdoe: 294,  Total Steps: 44100,  Num Updates: 16807
Episdoe: 295,  Total Steps: 44250,  Num Updates: 16881
Episdoe: 296,  Total Steps: 44400,  Num Updates: 16945
Episdoe: 297,  Total Steps: 44550,  Num Updates: 17000
Episdoe: 298,  Total Steps: 44700,  Num Updates: 17065
Episdoe: 299,  Total Steps: 44850,  Num Updates: 17130
Episdoe: 300,  Total Steps: 45000,  Num Updates: 17194
Episdoe: 301,  Total Steps: 45150,  Num Updates: 17267
Episdoe: 302,  Total Steps: 45300,  Num Updates: 17332
Episdoe: 303,  Total Steps: 45450,  Num Updates: 17396
Episdoe: 304,  Total Steps: 45600,  Num Updates: 17460
Episdoe: 305,  Total Steps: 45750,  Num Updates: 17524
Episdoe: 306,  Total Steps: 45900,  Num Updates: 17589
Episdoe: 307,  Total Steps: 46050,  Num Updates: 17653
Episdoe: 308,  Total Steps: 46200,  Num Updates: 17718
Episdoe: 309,  Total Steps: 46350,  Num Updates: 17781
Episdoe: 310,  Total Steps: 46500,  Num Updates: 17846
Episdoe: 311,  Total Steps: 46650,  Num Updates: 17910
Episdoe: 312,  Total Steps: 46800,  Num Updates: 17974
Episdoe: 313,  Total Steps: 46950,  Num Updates: 18038
Episdoe: 314,  Total Steps: 47100,  Num Updates: 18102
Episdoe: 315,  Total Steps: 47250,  Num Updates: 18165
Episdoe: 316,  Total Steps: 47400,  Num Updates: 18229
Episdoe: 317,  Total Steps: 47550,  Num Updates: 18293
Episdoe: 318,  Total Steps: 47700,  Num Updates: 18357
Episdoe: 319,  Total Steps: 47850,  Num Updates: 18422
Episdoe: 320,  Total Steps: 48000,  Num Updates: 18495
Episdoe: 321,  Total Steps: 48150,  Num Updates: 18559
Episdoe: 322,  Total Steps: 48300,  Num Updates: 18632
Episdoe: 323,  Total Steps: 48450,  Num Updates: 18696
Episdoe: 324,  Total Steps: 48600,  Num Updates: 18760
Episdoe: 325,  Total Steps: 48750,  Num Updates: 18824
Episdoe: 326,  Total Steps: 48900,  Num Updates: 18888
Episdoe: 327,  Total Steps: 49050,  Num Updates: 18952
Episdoe: 328,  Total Steps: 49200,  Num Updates: 19016
Episdoe: 329,  Total Steps: 49350,  Num Updates: 19080
Episdoe: 330,  Total Steps: 49500,  Num Updates: 19144
Episdoe: 331,  Total Steps: 49650,  Num Updates: 19209
Episdoe: 332,  Total Steps: 49800,  Num Updates: 19273
Episdoe: 333,  Total Steps: 49950,  Num Updates: 19337
Episdoe: 334,  Total Steps: 50100,  Num Updates: 19401
Episdoe: 335,  Total Steps: 50250,  Num Updates: 19467
Episdoe: 336,  Total Steps: 50400,  Num Updates: 19522
Episdoe: 337,  Total Steps: 50550,  Num Updates: 19586
Episdoe: 338,  Total Steps: 50700,  Num Updates: 19651
Episdoe: 339,  Total Steps: 50850,  Num Updates: 19715
Episdoe: 340,  Total Steps: 51000,  Num Updates: 19780
Episdoe: 341,  Total Steps: 51150,  Num Updates: 19844
Episdoe: 342,  Total Steps: 51300,  Num Updates: 19909
Episdoe: 343,  Total Steps: 51450,  Num Updates: 19973
Episdoe: 344,  Total Steps: 51600,  Num Updates: 20036
Episdoe: 345,  Total Steps: 51750,  Num Updates: 20100
Episdoe: 346,  Total Steps: 51900,  Num Updates: 20164
Episdoe: 347,  Total Steps: 52050,  Num Updates: 20229
Episdoe: 348,  Total Steps: 52200,  Num Updates: 20293
Episdoe: 349,  Total Steps: 52350,  Num Updates: 20355
Episdoe: 350,  Total Steps: 52500,  Num Updates: 20419
Episdoe: 351,  Total Steps: 52650,  Num Updates: 20482
Episdoe: 352,  Total Steps: 52800,  Num Updates: 20546
Episdoe: 353,  Total Steps: 52950,  Num Updates: 20610
Episdoe: 354,  Total Steps: 53100,  Num Updates: 20674
Episdoe: 355,  Total Steps: 53250,  Num Updates: 20737
Episdoe: 356,  Total Steps: 53400,  Num Updates: 20801
Episdoe: 357,  Total Steps: 53550,  Num Updates: 20865
Episdoe: 358,  Total Steps: 53700,  Num Updates: 20930
Episdoe: 359,  Total Steps: 53850,  Num Updates: 20994
Episdoe: 360,  Total Steps: 54000,  Num Updates: 21056
Episdoe: 361,  Total Steps: 54150,  Num Updates: 21120
Episdoe: 362,  Total Steps: 54300,  Num Updates: 21184
Episdoe: 363,  Total Steps: 54450,  Num Updates: 21248
Episdoe: 364,  Total Steps: 54600,  Num Updates: 21312
Episdoe: 365,  Total Steps: 54750,  Num Updates: 21376
Episdoe: 366,  Total Steps: 54900,  Num Updates: 21439
Episdoe: 367,  Total Steps: 55050,  Num Updates: 21502
Episdoe: 368,  Total Steps: 55200,  Num Updates: 21566
Episdoe: 369,  Total Steps: 55350,  Num Updates: 21631
Episdoe: 370,  Total Steps: 55500,  Num Updates: 21695
Episdoe: 371,  Total Steps: 55650,  Num Updates: 21759
Episdoe: 372,  Total Steps: 55800,  Num Updates: 21824
Episdoe: 373,  Total Steps: 55950,  Num Updates: 21887
Episdoe: 374,  Total Steps: 56100,  Num Updates: 21951
Episdoe: 375,  Total Steps: 56250,  Num Updates: 22015
