Episdoe: 392,  Total Steps: 29400,  Num Updates: 26898
Episdoe: 393,  Total Steps: 29475,  Num Updates: 26973
Episdoe: 394,  Total Steps: 29550,  Num Updates: 27048
Episdoe: 395,  Total Steps: 29625,  Num Updates: 27123
Episdoe: 396,  Total Steps: 29700,  Num Updates: 27198
Episdoe: 397,  Total Steps: 29775,  Num Updates: 27273
Episdoe: 398,  Total Steps: 29850,  Num Updates: 27348
Episdoe: 399,  Total Steps: 29925,  Num Updates: 27423
Episdoe: 400,  Total Steps: 30000,  Num Updates: 27498
Episdoe: 401,  Total Steps: 30075,  Num Updates: 27573
Episdoe: 402,  Total Steps: 30150,  Num Updates: 27648
Episdoe: 403,  Total Steps: 30225,  Num Updates: 27723
Episdoe: 404,  Total Steps: 30300,  Num Updates: 27798
Episdoe: 405,  Total Steps: 30375,  Num Updates: 27873
Episdoe: 406,  Total Steps: 30450,  Num Updates: 27948
Episdoe: 407,  Total Steps: 30525,  Num Updates: 28023
Episdoe: 408,  Total Steps: 30600,  Num Updates: 28098
Episdoe: 409,  Total Steps: 30675,  Num Updates: 28173
Episdoe: 410,  Total Steps: 30750,  Num Updates: 28248
Episdoe: 411,  Total Steps: 30825,  Num Updates: 28323
Episdoe: 412,  Total Steps: 30900,  Num Updates: 28398
Episdoe: 413,  Total Steps: 30975,  Num Updates: 28473
Episdoe: 414,  Total Steps: 31050,  Num Updates: 28548
Episdoe: 415,  Total Steps: 31125,  Num Updates: 28623
Episdoe: 416,  Total Steps: 31200,  Num Updates: 28698
Episdoe: 417,  Total Steps: 31275,  Num Updates: 28773
Episdoe: 418,  Total Steps: 31350,  Num Updates: 28848
Episdoe: 419,  Total Steps: 31425,  Num Updates: 28923
Episdoe: 420,  Total Steps: 31500,  Num Updates: 28998
Episdoe: 421,  Total Steps: 31575,  Num Updates: 29073
Episdoe: 422,  Total Steps: 31650,  Num Updates: 29148
Episdoe: 423,  Total Steps: 31725,  Num Updates: 29223
Episdoe: 424,  Total Steps: 31800,  Num Updates: 29298
Episdoe: 425,  Total Steps: 31875,  Num Updates: 29373
Episdoe: 426,  Total Steps: 31950,  Num Updates: 29448
Episdoe: 427,  Total Steps: 32025,  Num Updates: 29523
Episdoe: 428,  Total Steps: 32100,  Num Updates: 29598
Episdoe: 429,  Total Steps: 32175,  Num Updates: 29673
Episdoe: 430,  Total Steps: 32250,  Num Updates: 29748
Episdoe: 431,  Total Steps: 32325,  Num Updates: 29823
Episdoe: 432,  Total Steps: 32400,  Num Updates: 29898
Episdoe: 433,  Total Steps: 32475,  Num Updates: 29973
Episdoe: 434,  Total Steps: 32550,  Num Updates: 30048
Episdoe: 435,  Total Steps: 32625,  Num Updates: 30123
Episdoe: 436,  Total Steps: 32700,  Num Updates: 30198
Episdoe: 437,  Total Steps: 32775,  Num Updates: 30273
Episdoe: 438,  Total Steps: 32850,  Num Updates: 30348
Episdoe: 439,  Total Steps: 32925,  Num Updates: 30423
Episdoe: 440,  Total Steps: 33000,  Num Updates: 30498
Episdoe: 441,  Total Steps: 33075,  Num Updates: 30573
Episdoe: 442,  Total Steps: 33150,  Num Updates: 30648
Episdoe: 443,  Total Steps: 33225,  Num Updates: 30723
Episdoe: 444,  Total Steps: 33300,  Num Updates: 30798
Episdoe: 445,  Total Steps: 33375,  Num Updates: 30873
Episdoe: 446,  Total Steps: 33450,  Num Updates: 30948
Episdoe: 447,  Total Steps: 33525,  Num Updates: 31023
Episdoe: 448,  Total Steps: 33600,  Num Updates: 31098
Episdoe: 449,  Total Steps: 33675,  Num Updates: 31173
Episdoe: 450,  Total Steps: 33750,  Num Updates: 31248
