Episdoe: 266,  Total Steps: 21280,  Num Updates: 18612
Episdoe: 267,  Total Steps: 21360,  Num Updates: 18692
Episdoe: 268,  Total Steps: 21440,  Num Updates: 18772
Episdoe: 269,  Total Steps: 21520,  Num Updates: 18852
Episdoe: 270,  Total Steps: 21600,  Num Updates: 18932
Episdoe: 271,  Total Steps: 21680,  Num Updates: 19012
Episdoe: 272,  Total Steps: 21760,  Num Updates: 19092
Episdoe: 273,  Total Steps: 21840,  Num Updates: 19172
Episdoe: 274,  Total Steps: 21920,  Num Updates: 19252
Episdoe: 275,  Total Steps: 22000,  Num Updates: 19332
Episdoe: 276,  Total Steps: 22080,  Num Updates: 19412
Episdoe: 277,  Total Steps: 22160,  Num Updates: 19492
Episdoe: 278,  Total Steps: 22240,  Num Updates: 19572
Episdoe: 279,  Total Steps: 22320,  Num Updates: 19652
Episdoe: 280,  Total Steps: 22400,  Num Updates: 19732
Episdoe: 281,  Total Steps: 22480,  Num Updates: 19812
Episdoe: 282,  Total Steps: 22560,  Num Updates: 19892
Episdoe: 283,  Total Steps: 22640,  Num Updates: 19972
Episdoe: 284,  Total Steps: 22720,  Num Updates: 20052
Episdoe: 285,  Total Steps: 22800,  Num Updates: 20132
Episdoe: 286,  Total Steps: 22880,  Num Updates: 20212
Episdoe: 287,  Total Steps: 22960,  Num Updates: 20292
Episdoe: 288,  Total Steps: 23040,  Num Updates: 20372
Episdoe: 289,  Total Steps: 23120,  Num Updates: 20452
Episdoe: 290,  Total Steps: 23200,  Num Updates: 20532
Episdoe: 291,  Total Steps: 23280,  Num Updates: 20612
Episdoe: 292,  Total Steps: 23360,  Num Updates: 20692
Episdoe: 293,  Total Steps: 23440,  Num Updates: 20772
Episdoe: 294,  Total Steps: 23520,  Num Updates: 20852
Episdoe: 295,  Total Steps: 23600,  Num Updates: 20932
Episdoe: 296,  Total Steps: 23680,  Num Updates: 21012
Episdoe: 297,  Total Steps: 23760,  Num Updates: 21092
Episdoe: 298,  Total Steps: 23840,  Num Updates: 21172
Episdoe: 299,  Total Steps: 23920,  Num Updates: 21252
Episdoe: 300,  Total Steps: 24000,  Num Updates: 21332
Episdoe: 301,  Total Steps: 24080,  Num Updates: 21412
Episdoe: 302,  Total Steps: 24160,  Num Updates: 21492
Episdoe: 303,  Total Steps: 24240,  Num Updates: 21572
Episdoe: 304,  Total Steps: 24320,  Num Updates: 21652
Episdoe: 305,  Total Steps: 24400,  Num Updates: 21732
Episdoe: 306,  Total Steps: 24480,  Num Updates: 21812
Episdoe: 307,  Total Steps: 24560,  Num Updates: 21892
Episdoe: 308,  Total Steps: 24640,  Num Updates: 21972
Episdoe: 309,  Total Steps: 24720,  Num Updates: 22052
Episdoe: 310,  Total Steps: 24800,  Num Updates: 22132
Episdoe: 311,  Total Steps: 24880,  Num Updates: 22212
Episdoe: 312,  Total Steps: 24960,  Num Updates: 22292
Episdoe: 313,  Total Steps: 25040,  Num Updates: 22372
